题号,维度,要素,关键行为——基层管理者,firstline manager
1,驱动业务,战略思维-科学决策,1. 工作中能够深入理解上级要求，立即转化为行动步骤并清晰地传达给下属。,"1.Deeply understand requirements from superiors, quickly translate them into actionable steps, and clearly communicate them to subordinates."
2,驱动业务,战略思维-科学决策,2. 依据部门年度规划，拆解团队重点任务，制定可落地的执行计划,2.Break down key team tasks and develop executable implementation plans based on the department's annual planning.
3,驱动业务,创新引领-持续精进,3. 主动发现一线业务问题，提出可落地的改进举措或工作流程的改进建议,"3.Proactively identify frontline business issues, and propose actionable improvement measures or workflow improvement suggestions."
4,驱动业务,创新引领-持续精进,4. 善于运用企业内外的经验和方法带领团队进行工作的创新改进，并且能够启发促进他人的创新。,"4.Be skilled at leveraging internal and external experiences and methods to lead the team in driving innovative improvements, and be able to inspire and promote innovation in others."
5,驱动业务,全球视野-管理复杂情况,5. 能识别不同视角的价值差异，形成高效的跨部门沟通与协作方式,"5.Be able to recognize the value differences across diverse perspectives, and form efficient cross-departmental communication and collaboration methods."
6,驱动业务,全球视野-管理复杂情况,6. 有效链接身边资源，推进解决日常工作中的一线复杂问题,6.Effectively connect available resources and drive the resolution of frontline complex issues in daily work.
7,驱动业务,客户导向-珍视客户,7. 以响应内外部客户需求为首要任务，主动倾听并快速反馈一线服务诉求,"7.Prioritize responding to the needs of internal and external customers, actively listen to and provide timely feedback on frontline service requests."
8,驱动业务,客户导向-珍视客户,8. 立足岗位职能，协助解决内外部客户的实际问题，确保工作成果让客户满意,"8.Based on role responsibilities, assist internal and external customers in solving practical problems, ensuring that work outcomes meet customer satisfaction."
9,驱动业务,客户导向-珍视客户,9. 持续跟踪客户需求变化，维护稳定良好的协作与服务关系,"9.Continuously track changes in customer needs, and maintain stable and positive collaboration and service relationships."
10,组织建设,数智变革-加强数字应用,10 主动学习与岗位相关的数字化工具 / AI 应用，尝试引入日常工作以提升效率,"10.Proactively learn about digital tools/AI applications relevant to the role, and try to introduce them into daily work to improve efficiency."
11,组织建设,数智变革-加强数字应用,11. 积极参与公司及部门数字化项目，完成岗位相关的数字化工作,"11.Actively participate in digital projects of the company and department, and complete role-related digital tasks."
12,组织建设,发展组织-带兵打仗,12. 为团队设定清晰的绩效目标，身先士卒，带领团队完成任务,"12.Set clear performance goals for the team, lead by example, and lead the team to accomplish tasks."
13,组织建设,发展组织-带兵打仗,13. 营造积极的学习氛围，提供实践锻炼机会，支持成员技能提升,"13.Foster a positive learning atmosphere, provide practice opportunities, and support members in enhancing their skills."
14,组织建设,发展组织-带兵打仗,14. 对团队成员表现给予及时反馈，表扬进步，针对不足提供具体改进建议,"14.Provide timely feedback on team members' performance, praise progress, and offer specific suggestions for improvement."
15,文化旗手,追求卓越-高效执行,15. 主动识别并快速推进工作任务，不被动等待指令，确保基础工作落地,"15.Proactively identify and promptly drive work tasks without passively waiting for instructions, ensuring that foundational work is implemented."
16,文化旗手,追求卓越-高效执行,16.  以结果为导向，合理规划时间与资源，跟进任务进度，高效达成工作目标,"16.Focus on results, reasonably plan time and resources, follow up on task progress, and efficiently achieve work objectives."
17,文化旗手,文化引领,17. 深刻理解公司文化内涵，以身作则，在日常工作中积极践行并传递文化价值观,"17.Deeply understand the company's culture, lead by example, actively practice and demonstrate cultural values in daily work."
18,文化旗手,文化引领,18. 关注团队成员体验，将日常工作与文化传播结合，在团队内营造良好的文化氛围,"18.Focus on team members' experience, integrate daily work with company's cultural dissemination, and create a positive cultural atmosphere within the team."
19,文化旗手,精神品质,19、以坦诚精神、言出必行和公开透明的作风，建立与同事间的信赖和信任感，构建简单、互信、尊重、友爱的人际关系,"19.Establish trust and confidence with colleagues through a spirit of honesty, accountability and transparency. Build simple, trustworthy, respectful, and caring interpersonal relationships."
20,文化旗手,精神品质,20、自觉维护团结，能够顾全大局，多帮助多补位,"20.Consciously maintain unity, take a broader perspective, and proactively support others where needed."
21,文化旗手,作风做派,21、树立“合规”意识，带头践行合规文化，将合规理念贯穿于日常经营行动的每一个环节,"21.Establish a ""compliance"" mindset, take the lead in practicing a compliance culture, and integrate the concept of compliance into every aspect of daily business operations."
22,文化旗手,作风做派,22、杜绝官僚主义作风，不拉帮结派，不搞权力斗争，不任人唯亲，不默认、纵容下属的任何迎合和奉承行为,"22.Reduce bureaucracy, foster fairness, avoid power politics, and maintain professional, respectful relationships."
23,文化旗手,作风做派,23、树立道德高线，严守纪律底线,23.Set high moral standards and strictly adhere to the bottom line of discipline.
24,主观题,-,1. 请列举2-3个您认为被评估人表现出色并值得他人学习的行为。,"1. Please list 2-3 areas where you believe the assessed individual has performed exceptionally well, and is worthy of being learned from by others."
25,主观题,-,2. 请指出2-3个您认为被评估人有可发展空间的方面，并提供具体的发展建议。,"2. Please identify 2-3 areas where you think the assessed individual has room for development, and provide specific suggestions for improvement."
26,主观题,-,3. 您对被评估人的其他建议？,3. Do you have any other suggestions for the assessed individual?
