序号,维度,要素,关键行为,Key Behaviors
1,驱动业务,战略思维-科学决策,理解公司战略并洞察本领域的内外部环境，识别风险点和挖掘业务增长的机会点,"Understand the company's strategy and gain insights into the internal and external environment of the domain, identifying risks and opportunities for business growth."
2,驱动业务,战略思维-科学决策,根据年度战略规划进行系统思考，梳理本部门的策略和重点工作事项，并制定具体可执行的计划,"Conduct systematic thinking based on the annual strategic planning, sort out the department's strategies and key work items, and develop specific executable plans."
3,驱动业务,战略思维-科学决策,根据部门重点工作目标和资源现状，平衡效益和风险，在工作中做出正确判断和行动，快速推动战略落地,"Balance benefits and risks according to the department's key work objectives and resource status, make correct judgments and actions in work, and quickly promote the implementation of the strategy."
4,驱动业务,创新引领-持续精进,主动识别和记录业务管理中遇到的问题和挑战，创造性地提出改进设想并推动落地,"Proactively identify and document problems and challenges in business management, creatively propose improvement ideas, and drive their implementation."
5,驱动业务,创新引领-持续精进,在日常工作中，积极采取新措施和尝试新方法，持续提升工作效率,"In daily work, actively implement new measures and try new methods to continuously enhance work efficiency."
6,驱动业务,创新引领-持续精进,积极倾听部门成员的创新想法，建立激励机制，奖励成功实施创新想法的个人或团队，同时认可那些虽未成功但勇于尝试的创新行为,"Actively listen to innovative ideas from department members, establish incentive mechanisms, reward individuals or teams that successfully implement innovative ideas, and also recognize innovative behaviors that demonstrate courage in trying, even when not successful."
7,驱动业务,全球视野-管理复杂情况,主动地学习、理解和尊重不同文化，持续提升自身的国际化视野,"Proactively learn, understand, and respect different cultures, and persistently broaden one's international perspective."
8,驱动业务,全球视野-管理复杂情况,认识到不同视角、立场或文化带来的价值和风险，结合对各地区差异的理解，形成合理的管理机制,"Recognize the value and risks brought by different perspectives, positions, or cultures, and form reasonable management mechanisms based on an understanding of regional differences."
9,驱动业务,全球视野-管理复杂情况,有效地发挥跨部门影响力，链接跨部门资源，推进复杂问题的解决,"Effectively influence across functions, connect cross‑departmental resources, and drive the resolution of complex issues."
10,驱动业务,客户导向-珍视客户,把响应客户需求作为首要任务，积极倾听，快速响应内外部客户的需求,"Prioritize responding to customer needs, actively listen to, and quickly respond to the needs of both internal and external customers."
11,驱动业务,客户导向-珍视客户,帮助内外部客户解决问题，确保最终的产品或服务让客户满意,"Assist internal and external customers in solving problems, ensuring that the final products or services meet customer satisfaction."
12,驱动业务,客户导向-珍视客户,深入洞察，持续跟踪内外部客户需求及满足情况，建立稳定良好的客户关系,"Gain in-depth insights and continuously track the needs and satisfaction levels of internal and external customers, establishing stable and positive customer relationships."
13,组织建设,数智变革-加强数字应用,主动探索和学习本领域相关的数字化技术、AI等，引入至部门工作中，有效提升工作效率,"Proactively explore and learn about digital and AI technologies related to the field, introduce them into departmental work, and effectively improve work efficiency or  effectiveness."
14,组织建设,数智变革-加强数字应用,积极参与公司数字化项目，助力公司数字化变革成功,"Actively participate in the company's digital projects, contributing to the success of digital transformation."
15,组织建设,发展组织-带兵打仗,根据部门目标，制定部门内部及跨部门的工作流程和沟通协作机制，促进工作高效开展,"Based on department goals, establish internal and cross-departmental workflows and communication collaboration mechanisms to facilitate efficient work."
16,组织建设,发展组织-带兵打仗,梳理部门成员能力现状，合理规划人才队伍，建立人才梯队,"Review the current capabilities of department members, plan the talent team rationally, and establish a talent pipeline."
17,组织建设,发展组织-带兵打仗,为部门设立高绩效标准，通过授权、激励、辅导等形式，挖掘员工潜力，带领部门持续打胜仗,"Set high performance standards for the department, and release employee potential through empowerment, motivation, coaching, and other means to lead the department to continuous success."
18,组织建设,发展组织-带兵打仗,在部门内营造良好的学习氛围，结合部门需求与员工的发展意愿，为团队成员提供多样的学习和挑战机会,"Foster a positive learning atmosphere within the department, aligning departmental needs with employees' development aspirations to provide team members with diverse learning and challenge opportunities."
19,组织建设,发展组织-带兵打仗,对员工表现给予及时反馈，表扬优秀与进步，对于不足之处提供合理的改进建议，从而帮助员工持续提升工作表现与能力,"Provide timely feedback on employee performance, praise excellence and progress, and offer reasonable suggestions for improvement to help employees continuously enhance their work performance and capabilities."
20,文化旗手,追求卓越-高效执行,主动识别需要完成的任务并积极采取行动，不会被动等待他人的要求,Proactively identify tasks that need to be completed and take action without passively waiting for others' instructions.
21,文化旗手,追求卓越-高效执行,以结果为导向，并能够在过程中合理规划人力、时间、预算等各项资源，及时跟进落地情况，不断推动结果达成,"Focus on results and be able to plan human resources, time, budget, and other resources reasonably, follow up on implementation in a timely manner, and continuously drive the achievement of results."
22,文化旗手,文化引领,深刻理解公司文化内涵，以身作则，积极践行并主动传播文化价值观，保持其日常行为与价值观导向高度一致,"Deeply understand the company's culture, lead by example, actively practice, and proactively disseminate cultural values, ensuring high alignment between daily actions and value orientation."
23,文化旗手,文化引领,重视文化建设，关注员工体验，将部门日常工作与公司文化紧密结合，积极参与并推进文化传播活动，表彰积极践行文化的行为，在部门内营造良好的文化氛围,"Value cultural development, focus on employee experience, closely integrate departmental daily work with the company's culture, actively participate in and promote cultural communication activities, recognize behaviors that actively practice the culture, and create a positive cultural atmosphere within the department."
24,文化旗手,精神品质,以坦诚精神、言出必行和公开透明的作风，建立与同事间的信赖和信任感，构建简单、互信、尊重、友爱的人际关系,"Establish trust and confidence with colleagues through a spirit of honesty, accountability and transparency. Build simple, trustworthy, respectful, and caring interpersonal relationships."
25,文化旗手,精神品质,自觉维护团结，能够顾全大局，多帮助多补位,"Consciously maintain unity, take a broader perspective, and proactively support others where needed"
26,文化旗手,作风做派,树立“合规”意识，带头践行合规文化，将合规理念贯穿于日常经营行动的每一个环节,"Establish a ""compliance"" mindset, take the lead in practicing a compliance culture, and integrate the concept of compliance into every aspect of daily business operations."
27,文化旗手,作风做派,杜绝官僚主义作风，不拉帮结派，不搞权力斗争，不任人唯亲，不默认、纵容下属的任何迎合和奉承行为,"Reduce bureaucracy, foster fairness, avoid power politics, and maintain professional, respectful relationships."
28,文化旗手,作风做派,树立道德高线，严守纪律底线,Set high moral standards and strictly adhere to the bottom line of discipline.
29,主观题,-,1. 请列举2-3个您认为被评估人表现出色并值得他人学习的行为。,"1. Please list 2-3 areas where you believe the assessed individual has performed exceptionally well, and is worthy of being learned from by others."
30,主观题,-,2. 请指出2-3个您认为被评估人有可发展空间的方面，并提供具体的发展建议。,"2. Please identify 2-3 areas where you think the assessed individual has room for development, and provide specific suggestions for improvement."
31,主观题,-,3. 您对被评估人的其他建议？,3. Do you have any other suggestions for the assessed individual?
