被评人工号,一级组织,二级组织,三级组织,四级组织,五级组织,六级组织,被评人问卷,关系,评估人工号,理解公司战略并洞察本领域的内外部环境，识别风险点和挖掘业务增长的机会点,根据年度战略规划进行系统思考，梳理本部门的策略和重点工作事项，并制定具体可执行的计划,根据部门重点工作目标和资源现状，平衡效益和风险，在工作中做出正确判断和行动，快速推动战略落地,主动识别和记录业务管理中遇到的问题和挑战，创造性地提出改进设想并推动落地,在日常工作中，积极采取新措施和尝试新方法，持续提升工作效率,积极倾听部门成员的创新想法，建立激励机制，奖励成功实施创新想法的个人或团队，同时认可那些虽未成功但勇于尝试的创新行为,主动地学习、理解和尊重不同文化，持续提升自身的国际化视野,认识到不同视角、立场或文化带来的价值和风险，结合对各地区差异的理解，形成合理的管理机制,有效地发挥跨部门影响力，链接跨部门资源，推进复杂问题的解决,把响应客户需求作为首要任务，积极倾听，快速响应内外部客户的需求,帮助内外部客户解决问题，确保最终的产品或服务让客户满意,深入洞察，持续跟踪内外部客户需求及满足情况，建立稳定良好的客户关系,主动探索和学习本领域相关的数字化技术、AI等，引入至部门工作中，有效提升工作效率,积极参与公司数字化项目，助力公司数字化变革成功,根据部门目标，制定部门内部及跨部门的工作流程和沟通协作机制，促进工作高效开展,梳理部门成员能力现状，合理规划人才队伍，建立人才梯队,为部门设立高绩效标准，通过授权、激励、辅导等形式，挖掘员工潜力，带领部门持续打胜仗,在部门内营造良好的学习氛围，结合部门需求与员工的发展意愿，为团队成员提供多样的学习和挑战机会,对员工表现给予及时反馈，表扬优秀与进步，对于不足之处提供合理的改进建议，从而帮助员工持续提升工作表现与能力,主动识别需要完成的任务并积极采取行动，不会被动等待他人的要求,以结果为导向，并能够在过程中合理规划人力、时间、预算等各项资源，及时跟进落地情况，不断推动结果达成,深刻理解公司文化内涵，以身作则，积极践行并主动传播文化价值观，保持其日常行为与价值观导向高度一致,重视文化建设，关注员工体验，将部门日常工作与公司文化紧密结合，积极参与并推进文化传播活动，表彰积极践行文化的行为，在部门内营造良好的文化氛围,以坦诚精神、言出必行和公开透明的作风，建立与同事间的信赖和信任感，构建简单、互信、尊重、友爱的人际关系,自觉维护团结，能够顾全大局，多帮助多补位,树立“合规”意识，带头践行合规文化，将合规理念贯穿于日常经营行动的每一个环节,杜绝官僚主义作风，不拉帮结派，不搞权力斗争，不任人唯亲，不默认、纵容下属的任何迎合和奉承行为,树立道德高线，严守纪律底线,请列举2-3个您认为被评估人表现出色并值得他人学习的行为。,请指出2-3个您认为被评估人有可发展空间的方面，并提供具体的发展建议。,您对被评估人的其他建议？,司龄,年龄,直接下属人数,上一次晋升时间,一级序列,二级序列,去年年度绩效数据
10043642,光储集团,营销体系,海外战略大客户中心&中东非大区,海外战略大客户中心,技术营销部,,执行层,协同方,10041340,3,3,4,4,4,4,5,4,3,4,4,4,,,,,,,,4,4,3,4,4,4,4,4,4,"1、积极参与各项事务；
2、专业技能优秀；",无,无,1,43,9,6/5/2026,营销,技术营销,B+
10043642,光储集团,营销体系,海外战略大客户中心&中东非大区,海外战略大客户中心,技术营销部,,执行层,协同方,10015464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43,9,6/5/2026,营销,技术营销,B+
10043642,光储集团,营销体系,海外战略大客户中心&中东非大区,海外战略大客户中心,技术营销部,,执行层,协同方,10036152,4,3,3,4,4,3,5,4,4,4,4,4,,,,,,,,4,3,5,3,4,4,4,4,5,Dr Goh is a professional who are passionate and committed with his work. ,"Dr Goh is going to be promoted to be a team leader, he is advised to improve leadership and motivational skills to manage a cross-culture and cross-region team.","Adapt the new role swiftly and effectively, looking forward to seeing his vision come to implementation and add great value to OSKA and Sungrow",1,43,9,6/5/2026,营销,技术营销,B+
10043642,光储集团,营销体系,海外战略大客户中心&中东非大区,海外战略大客户中心,技术营销部,,执行层,协同方,10020397,4,5,5,5,5,4,5,4,5,5,5,5,,,,,,,,5,5,4,4,5,5,5,5,5,业务思维导向，有针对性地开展技术营销工作；在专业领域足够专业，赢得客户认可,进一步加深客户侧技术关键人和高层的客户关系管理,无,1,43,9,6/5/2026,营销,技术营销,B+
10043642,光储集团,营销体系,海外战略大客户中心&中东非大区,海外战略大客户中心,技术营销部,,执行层,上级,10005139,4,4,4,5,5,4,4,5,4,5,4,5,4,3,4,4,4,5,4,5,4,4,4,4,4,5,5,5,深入挖掘客户需求；针对性准备营销材料,"进一步深入了解公司情况，以利于在现有资源基础上寻求最优解；
更多关注下属的需求，统一团队思想",无,1,43,9,6/5/2026,营销,技术营销,B+
10043642,光储集团,营销体系,海外战略大客户中心&中东非大区,海外战略大客户中心,技术营销部,,执行层,协同方,10017585,4,4,4,4,4,3,5,5,2,4,4,4,,,,,,,,3,4,3,4,3,4,4,3,3,专业，热情，有思想,需要熟悉内部工作流程，建立和其他部门的良好关系,加油,1,43,9,6/5/2026,营销,技术营销,B+
10043642,光储集团,营销体系,海外战略大客户中心&中东非大区,海外战略大客户中心,技术营销部,,执行层,自己,10043642,5,5,4,4,5,4,5,5,4,5,5,5,5,4,4,4,5,4,5,5,4,4,5,5,4,5,4,5,"I always taking the ownership of the issue and proactively looking for the solutions. Moreover, I take the lead in the team to effectively deliver the projects.",I have heavy workload and always working overtime. I will need to look into the management of my time.,Keep up with the good work.,1,43,9,6/5/2026,营销,技术营销,B+
10015526,光储集团,储能事业部,研发中心,储能产品系统部,电力储能系统部,,执行层,协同方,10033530,5,5,5,5,5,5,4,5,4,5,5,5,,,,,,,,5,4,5,5,5,5,5,5,5,共创相互协同能力强，系统思维优秀,无,无,5.3,31,0,,产品与研发,系统,B+
10015526,光储集团,储能事业部,研发中心,储能产品系统部,电力储能系统部,,执行层,协同方,10019397,5,4,4,5,4,4,3,4,5,5,3,4,,,,,,,,4,4,4,3,4,5,5,5,5,"1.人际影响力方面非常强，与业务相关方的工作对接非常高效顺畅
2.敢于且有能力承接挑战性任务","1.作为新产品立项团队的最高负责人
2.作为全序列新产品立项或技术路线固定评审委员",希望能把自己的一些处理事情的经验以方法论的形式做分享,5.3,31,0,,产品与研发,系统,B+
10015526,光储集团,储能事业部,研发中心,储能产品系统部,电力储能系统部,,执行层,协同方,10016369,5,4,5,5,3,3,4,4,4,4,4,3,,,,,,,,4,4,5,4,5,5,4,5,5,"1、面对高强度压力时，会为团队分担压力，在关键时刻能够顶上
2、能够分解复杂问题，最终带领大家突破困境",1、需要增加对下属的培养，为自己减负,暂无,5.3,31,0,,产品与研发,系统,B+
10015526,光储集团,储能事业部,研发中心,储能产品系统部,电力储能系统部,,执行层,协同方,10001822,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,5,5,5,5,5,5,5,5,5,面对工作任务时，工作思路清晰，能够高效开展。,暂无,暂无,5.3,31,0,,产品与研发,系统,B+
10015526,光储集团,储能事业部,研发中心,储能产品系统部,电力储能系统部,,执行层,上级,10007018,4,4,4,5,4,4,4,4,5,5,5,5,3,3,4,4,4,4,5,4,5,5,5,5,5,4,5,5,"1.业务思维突出，能够主动基于业务全局考虑问题，敢于决策技术问题；
2.沟通协调能力突出，能够主动协调推动相关方，解决开发过程中的卡点问题，促成目标实现；","1.有魄力的同时需要增加谨慎，建议后期工作中多关注技术风险管控；
2.加强学习，提升管理及策划能力，多通过策略方法高效解决问题。",无,5.3,31,0,,产品与研发,系统,B+
10015526,光储集团,储能事业部,研发中心,储能产品系统部,电力储能系统部,,执行层,自己,10015526,5,4,5,4,4,5,5,4,5,4,5,5,4,4,3,5,4,4,5,5,4,5,5,5,5,4,5,5,"1，责任心强，业务相关事情不推诿，主动解决，达到目标进行闭环；
2，抗压能力强，长期从事高压工作，能在高压中完成任务，达成组织目标；","1，需要多走出去，了解市场业务动态；
2，需要多了解一些行业发展动态和技术发展趋势；
3，需要多一些时间思考和自我学习成长。",暂无,5.3,31,0,,产品与研发,系统,B+
10018912,光储集团,储能事业部,产品经营中心,电力储能产品部,,,执行层,上级,10009176,4,4,4,3,5,4,4,3,5,5,5,5,5,5,4,3,3,4,3,5,4,5,3,5,4,4,5,5,态度诚恳，为人坦诚，亲和力。,需更加细心，自我约束。,暂无,4.6,34,3,6/19/2026,产品与研发,产品,A
10018912,光储集团,储能事业部,产品经营中心,电力储能产品部,,,执行层,协同方,10003244,5,5,5,5,4,5,5,4,5,5,5,5,,,,,,,,4,4,5,5,4,5,5,4,4,团队的优秀管理者，在团队内的公信力卓越，对业务思考全面。,团队成员对韩总认可度非常高，业务和规划上希望可以多参与,无,4.6,34,3,6/19/2026,产品与研发,产品,A
10018912,光储集团,储能事业部,产品经营中心,电力储能产品部,,,执行层,协同方,10019447,3,3,3,3,4,4,4,3,4,4,4,4,,,,,,,,4,3,4,3,4,4,5,5,5,执行力强，有创造力,沟通协调能力可以再加强,无,4.6,34,3,6/19/2026,产品与研发,产品,A
10018912,光储集团,储能事业部,产品经营中心,电力储能产品部,,,执行层,协同方,10022546,3,4,4,4,3,4,4,4,4,4,4,4,,,,,,,,4,4,4,4,5,5,4,5,5,有韧劲,暂无建议,暂无,4.6,34,3,6/19/2026,产品与研发,产品,A
10018912,光储集团,储能事业部,产品经营中心,电力储能产品部,,,执行层,协同方,10004028,4,5,4,5,4,4,5,4,5,4,4,5,,,,,,,,5,4,5,5,4,5,4,5,4,结果导向，做事有耐心，能充分听取员工建议。,安排任务建议要把背景情况和目的说清楚，确保大家理解和任务需求是一致的。,关键事情上要有杀伐果断的决心,4.6,34,3,6/19/2026,产品与研发,产品,A
10018912,光储集团,储能事业部,产品经营中心,电力储能产品部,,,执行层,自己,10018912,4,5,4,4,5,3,4,3,5,5,5,4,5,5,3,3,3,5,4,5,5,4,3,4,5,3,5,5,无,无,无,4.6,34,3,6/19/2026,产品与研发,产品,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,下级,10045676,4,5,5,4,5,5,5,4,5,4,4,4,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,"1. 主动拥抱 AI 等新兴变化，面对新概念、新理念，何总能够快速理解、深入钻研，并结合业务实际融会贯通，借力新科技赋能日常工作、助推业务发展。
2. 在工作推进中，何总始终前瞻布局、先人一步。尤其在各类数字化项目上，坚持提前谋划、前置启动，把复杂任务拆解消化在日常阶段，有效缓解项目中后期攻坚压力，同时也为专项工作预留充足优化完善的时间。","1.自身业务和管理经验非常丰富，建议多进行经验总结梳理，适时在团队内做分享交流，带动团队整体能力共同提升。
2.建议进一步加强核心骨干培养与人才梯队搭建，多给予下属员工独立牵头项目、决策历练的机会，做好传帮带，完善人才成长路径，夯实团队可持续发展能力。",暂无其他,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,下级,10046221,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,4,4,4,5,4,4,3,4,4,4,4,5,"1.一直保持持续学习的态度和精神，并时常提醒团队和下属也要不断精进自身的专业、语言与沟通能力提升自我价值；
2.一直重视团队合作、在团队中建立了友善交流、互帮互助、知识共享的良好氛围",无其他建议,无其他建议,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,下级,10037810,4,5,4,4,3,3,4,4,5,4,4,5,4,5,4,4,4,3,3,4,5,5,4,3,4,5,4,5,积极推进财务数字化建设；主动分享经验,专业知识,无,3.1,45,23,,财务,财务核算,A
